topic_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label,doc_weight_sum,term_freq
T00,aint,gon,dont,mama,lil,tryna,ima,cause,bout,round,baby,play,head,today,talkin,"T00 aint, gon, dont, mama, lil, tryna, ima, cause, bout, round, baby, play, head, today, talkin",1426.8320309119822,0.06676925030692261
T01,life,god,day,things,lord,people,world,pain,way,family,dream,soul,days,eyes,sky,"T01 life, god, day, things, lord, people, world, pain, way, family, dream, soul, days, eyes, sky",1425.924251029444,0.06820556196154984
T02,da,wit,hands,bounce,air,club,pass,cmon,gangsta,dat,biggie,jump,trouble,boogie,knock,"T02 da, wit, hands, bounce, air, club, pass, cmon, gangsta, dat, biggie, jump, trouble, boogie, knock",279.0036514180726,0.015422072121549411
T03,pop,smoke,woo,rollin,dem,mi,problem,que,hill,cypress,rider,el,di,te,pa,"T03 pop, smoke, woo, rollin, dem, mi, problem, que, hill, cypress, rider, el, di, te, pa",211.53110825272574,0.01023890847852198
T04,man,yall,game,aint,rap,boy,boom,dont,flow,rappers,music,cause,kids,album,time,"T04 man, yall, game, aint, rap, boy, boom, dont, flow, rappers, music, cause, kids, album, time",1487.0911821731954,0.07670578023674185
T05,block,head,gun,shots,face,guns,house,dont,door,shot,beef,body,street,blood,drop,"T05 block, head, gun, shots, face, guns, house, dont, door, shot, beef, body, street, blood, drop",1567.6485587931359,0.08398486387701816
T06,people,cause,youre,mind,war,time,matter,men,way,peace,brain,look,power,dont,truth,"T06 people, cause, youre, mind, war, time, matter, men, way, peace, brain, look, power, dont, truth",1257.4503755061241,0.06557506862253457
T07,diamonds,bag,wrist,water,racks,trap,look,neck,ice,bands,chain,whip,plug,drip,stick,"T07 diamonds, bag, wrist, water, racks, trap, look, neck, ice, bands, chain, whip, plug, drip, stick",1034.0343441647713,0.05150286502561095
T08,time,dont,way,mind,youre,cause,night,heart,home,love,times,day,things,thing,eyes,"T08 time, dont, way, mind, youre, cause, night, heart, home, love, times, day, things, thing, eyes",1687.5589038477203,0.07160771494079234
T09,love,everybody,dog,wait,face,shawty,dogs,friend,rick,baby,cup,hold,drank,crazy,hit,"T09 love, everybody, dog, wait, face, shawty, dogs, friend, rick, baby, cup, hold, drank, crazy, hit",375.1346838194734,0.01737274322265602
T10,world,ghetto,song,versace,breathe,man,christmas,jack,feet,riches,president,hype,rise,thou,struggle,"T10 world, ghetto, song, versace, breathe, man, christmas, jack, feet, riches, president, hype, rise, thou, struggle",256.7948634265524,0.012828938065402046
T11,baby,girl,way,cause,youre,girls,dont,body,head,shes,thing,sex,man,wan,night,"T11 baby, girl, way, cause, youre, girls, dont, body, head, shes, thing, sex, man, wan, night",1535.117031523872,0.07007149131828365
T12,ayy,gang,gucci,check,damn,boy,bang,mane,swag,hoe,aye,soulja,mm,yuh,juice,"T12 ayy, gang, gucci, check, damn, boy, bang, mane, swag, hoe, aye, soulja, mm, yuh, juice",475.491135293178,0.022731342889278167
T13,dance,friends,okay,lights,whoa,word,goin,alright,chance,hand,chick,push,fingers,ohoh,lookin,"T13 dance, friends, okay, lights, whoa, word, goin, alright, chance, hand, chick, push, fingers, ohoh, lookin",298.3086529733671,0.014041153818802029
T14,hoes,party,game,city,club,aint,cause,pimp,drop,player,pimpin,mouth,weed,ride,money,"T14 hoes, party, game, city, club, aint, cause, pimp, drop, player, pimpin, mouth, weed, ride, money",1137.8481462273032,0.05999377147691866
T15,cause,youre,time,rap,rock,style,rhymes,rhyme,beat,people,yall,music,word,way,dont,"T15 cause, youre, time, rap, rock, style, rhymes, rhyme, beat, people, yall, music, word, way, dont",1579.0134743136762,0.08540643734567976
T16,boy,dre,funk,coast,dogg,cuz,weed,compton,roll,trip,west,snoop,cause,dr,gangsta,"T16 boy, dre, funk, coast, dogg, cuz, weed, compton, roll, trip, west, snoop, cause, dr, gangsta",406.98246271421453,0.021565006030679196
T17,cause,man,day,way,night,aint,life,hood,game,streets,time,street,hell,damn,brother,"T17 cause, man, day, way, night, aint, life, hood, game, streets, time, street, hell, damn, brother",1359.801829892015,0.07128995579273914
T18,cause,thug,bone,yall,motherfuckers,murder,bang,thugs,dont,mo,comin,thang,aint,game,come,"T18 cause, thug, bone, yall, motherfuckers, murder, bang, thugs, dont, mo, comin, thang, aint, game, come",760.2222754837961,0.04346970641245865
T19,money,cash,dope,aint,hoes,work,paper,boy,dollar,bank,cause,dont,gettin,cars,car,"T19 money, cash, dope, aint, hoes, work, paper, boy, dollar, bank, cause, dont, gettin, cars, car",1421.2110382354228,0.07121736805586096
